band,letter,channel,frequency_mhz
BAND_A,A,1,5865
BAND_A,A,2,5845
BAND_A,A,3,5825
BAND_A,A,4,5805
BAND_A,A,5,5785
BAND_A,A,6,5765
BAND_A,A,7,5745
BAND_A,A,8,5725
BOSCAM_B,B,1,5733
BOSCAM_B,B,2,5752
BOSCAM_B,B,3,5771
BOSCAM_B,B,4,5790
BOSCAM_B,B,5,5809
BOSCAM_B,B,6,5828
BOSCAM_B,B,7,5847
BOSCAM_B,B,8,5866
BOSCAM_E,E,1,5705
BOSCAM_E,E,2,5685
BOSCAM_E,E,3,5665
BOSCAM_E,E,4,0
BOSCAM_E,E,5,5885
BOSCAM_E,E,6,5905
BOSCAM_E,E,7,0
BOSCAM_E,E,8,0
BAND_F,F,1,5740
BAND_F,F,2,5760
BAND_F,F,3,5780
BAND_F,F,4,5800
BAND_F,F,5,5820
BAND_F,F,6,5840
BAND_F,F,7,5860
BAND_F,F,8,5880
RACEBAND,R,1,5658
RACEBAND,R,2,5695
RACEBAND,R,3,5732
RACEBAND,R,4,5769
RACEBAND,R,5,5806
RACEBAND,R,6,5843
RACEBAND,R,7,5880
RACEBAND,R,8,5917
