band,letter,channel,frequency_mhz
BOSCAM_A,A,1,5474
BOSCAM_A,A,2,5492
BOSCAM_A,A,3,5510
BOSCAM_A,A,4,5528
BOSCAM_A,A,5,5546
BOSCAM_A,A,6,5564
BOSCAM_A,A,7,5582
BOSCAM_A,A,8,5600
BOSCAM_B,B,1,5362
BOSCAM_B,B,2,5399
BOSCAM_B,B,3,5436
BOSCAM_B,B,4,5473
BOSCAM_B,B,5,5510
BOSCAM_B,B,6,5547
BOSCAM_B,B,7,5584
BOSCAM_B,B,8,5621
BOSCAM_E,E,1,5325
BOSCAM_E,E,2,5348
BOSCAM_E,E,3,5366
BOSCAM_E,E,4,5384
BOSCAM_E,E,5,5402
BOSCAM_E,E,6,5420
BOSCAM_E,E,7,5438
BOSCAM_E,E,8,5456
FATSHARK,F,1,5129
FATSHARK,F,2,5159
FATSHARK,F,3,5189
FATSHARK,F,4,5219
FATSHARK,F,5,5249
FATSHARK,F,6,5279
FATSHARK,F,7,5309
FATSHARK,F,8,5339
RACEBAND,R,1,4990
RACEBAND,R,2,5020
RACEBAND,R,3,5050
RACEBAND,R,4,5080
RACEBAND,R,5,5110
RACEBAND,R,6,5140
RACEBAND,R,7,5170
RACEBAND,R,8,5200
CUSTOM_P,P,1,5333
CUSTOM_P,P,2,5373
CUSTOM_P,P,3,5413
CUSTOM_P,P,4,5453
CUSTOM_P,P,5,5493
CUSTOM_P,P,6,5533
CUSTOM_P,P,7,5573
CUSTOM_P,P,8,5613
CUSTOM_L,L,1,4900
CUSTOM_L,L,2,4940
CUSTOM_L,L,3,4921
CUSTOM_L,L,4,4958
CUSTOM_L,L,5,4995
CUSTOM_L,L,6,5032
CUSTOM_L,L,7,5069
CUSTOM_L,L,8,5099
CUSTOM_U,U,1,5960
CUSTOM_U,U,2,5980
CUSTOM_U,U,3,6000
CUSTOM_U,U,4,6020
CUSTOM_U,U,5,6030
CUSTOM_U,U,6,6040
CUSTOM_U,U,7,6050
CUSTOM_U,U,8,6060
