band,letter,channel,frequency_mhz
BOSCAM_A,A,1,5865
BOSCAM_A,A,2,5845
BOSCAM_A,A,3,5825
BOSCAM_A,A,4,5805
BOSCAM_A,A,5,5785
BOSCAM_A,A,6,5765
BOSCAM_A,A,7,5745
BOSCAM_A,A,8,5725
BOSCAM_B,B,1,5733
BOSCAM_B,B,2,5752
BOSCAM_B,B,3,5771
BOSCAM_B,B,4,5790
BOSCAM_B,B,5,5809
BOSCAM_B,B,6,5828
BOSCAM_B,B,7,5847
BOSCAM_B,B,8,5866
BOSCAM_E,E,1,5705
BOSCAM_E,E,2,5685
BOSCAM_E,E,3,5665
BOSCAM_E,E,4,5645
BOSCAM_E,E,5,5885
BOSCAM_E,E,6,5905
BOSCAM_E,E,7,5925
BOSCAM_E,E,8,5945
FATSHARK,F,1,5740
FATSHARK,F,2,5760
FATSHARK,F,3,5780
FATSHARK,F,4,5800
FATSHARK,F,5,5820
FATSHARK,F,6,5840
FATSHARK,F,7,5860
FATSHARK,F,8,5880
RACEBAND,R,1,5658
RACEBAND,R,2,5695
RACEBAND,R,3,5732
RACEBAND,R,4,5769
RACEBAND,R,5,5806
RACEBAND,R,6,5843
RACEBAND,R,7,5880
RACEBAND,R,8,5917
LOWBAND,L,1,5362
LOWBAND,L,2,5399
LOWBAND,L,3,5436
LOWBAND,L,4,5473
LOWBAND,L,5,5510
LOWBAND,L,6,5547
LOWBAND,L,7,5584
LOWBAND,L,8,5621
