band,letter,channel,frequency_mhz
BOSCAM_A,A,1,5865
BOSCAM_A,A,2,5845
BOSCAM_A,A,3,5825
BOSCAM_A,A,4,5805
BOSCAM_A,A,5,5785
BOSCAM_A,A,6,5765
BOSCAM_A,A,7,5745
BOSCAM_A,A,8,5725
BOSCAM_B,B,1,5733
BOSCAM_B,B,2,5752
BOSCAM_B,B,3,5771
BOSCAM_B,B,4,5790
BOSCAM_B,B,5,5809
BOSCAM_B,B,6,5828
BOSCAM_B,B,7,5847
BOSCAM_B,B,8,5866
BOSCAM_E,E,1,5705
BOSCAM_E,E,2,5685
BOSCAM_E,E,3,5665
BOSCAM_E,E,4,5645
BOSCAM_E,E,5,5885
BOSCAM_E,E,6,5905
BOSCAM_E,E,7,5925
BOSCAM_E,E,8,5945
FATSHARK,F,1,5740
FATSHARK,F,2,5760
FATSHARK,F,3,5780
FATSHARK,F,4,5800
FATSHARK,F,5,5820
FATSHARK,F,6,5840
FATSHARK,F,7,5860
FATSHARK,F,8,5880
RACEBAND,R,1,5658
RACEBAND,R,2,5695
RACEBAND,R,3,5732
RACEBAND,R,4,5769
RACEBAND,R,5,5806
RACEBAND,R,6,5843
RACEBAND,R,7,5880
RACEBAND,R,8,5917
BAND_H,H,1,5653
BAND_H,H,2,5693
BAND_H,H,3,5733
BAND_H,H,4,5773
BAND_H,H,5,5813
BAND_H,H,6,5853
BAND_H,H,7,5893
BAND_H,H,8,5933
BAND_O,O,1,5474
BAND_O,O,2,5492
BAND_O,O,3,5510
BAND_O,O,4,5528
BAND_O,O,5,5546
BAND_O,O,6,5564
BAND_O,O,7,5582
BAND_O,O,8,5600
BAND_U,U,1,5325
BAND_U,U,2,5348
BAND_U,U,3,5366
BAND_U,U,4,5384
BAND_U,U,5,5402
BAND_U,U,6,5420
BAND_U,U,7,5438
BAND_U,U,8,5456
