band,letter,channel,frequency_mhz
BAND_A,A,1,5865
BAND_A,A,2,5845
BAND_A,A,3,5825
BAND_A,A,4,5805
BAND_A,A,5,5785
BAND_A,A,6,5765
BAND_A,A,7,5745
BAND_A,A,8,5725
BAND_B,B,1,5733
BAND_B,B,2,5752
BAND_B,B,3,5771
BAND_B,B,4,5790
BAND_B,B,5,5809
BAND_B,B,6,5828
BAND_B,B,7,5847
BAND_B,B,8,5866
BAND_E,E,1,5705
BAND_E,E,2,5685
BAND_E,E,3,5665
BAND_E,E,4,5645
BAND_E,E,5,5885
BAND_E,E,6,5905
BAND_E,E,7,5925
BAND_E,E,8,5945
BAND_F,F,1,5740
BAND_F,F,2,5760
BAND_F,F,3,5780
BAND_F,F,4,5800
BAND_F,F,5,5820
BAND_F,F,6,5840
BAND_F,F,7,5860
BAND_F,F,8,5880
BAND_R,R,1,5658
BAND_R,R,2,5695
BAND_R,R,3,5732
BAND_R,R,4,5769
BAND_R,R,5,5806
BAND_R,R,6,5843
BAND_R,R,7,5880
BAND_R,R,8,5917
BAND_H,H,1,5653
BAND_H,H,2,5693
BAND_H,H,3,5733
BAND_H,H,4,5773
BAND_H,H,5,5813
BAND_H,H,6,5853
BAND_H,H,7,5893
BAND_H,H,8,5933
BAND_L,L,1,5333
BAND_L,L,2,5373
BAND_L,L,3,5413
BAND_L,L,4,5453
BAND_L,L,5,5493
BAND_L,L,6,5533
BAND_L,L,7,5573
BAND_L,L,8,5613
BAND_U,U,1,5325
BAND_U,U,2,5348
BAND_U,U,3,5366
BAND_U,U,4,5384
BAND_U,U,5,5402
BAND_U,U,6,5420
BAND_U,U,7,5438
BAND_U,U,8,5456
