band,letter,channel,frequency_mhz
BAND-A,A,1,5865
BAND-A,A,2,5845
BAND-A,A,3,5825
BAND-A,A,4,5805
BAND-A,A,5,5785
BAND-A,A,6,5765
BAND-A,A,7,5745
BAND-A,A,8,5725
BAND-B,A,1,5733
BAND-B,A,2,5752
BAND-B,A,3,5771
BAND-B,A,4,5790
BAND-B,A,5,5809
BAND-B,A,6,5828
BAND-B,A,7,5847
BAND-B,A,8,5866
BAND-E,A,1,5705
BAND-E,A,2,5685
BAND-E,A,3,5665
BAND-E,A,4,5645
BAND-E,A,5,5885
BAND-E,A,6,5905
BAND-E,A,7,5925
BAND-E,A,8,5945
BAND-F,A,1,5740
BAND-F,A,2,5760
BAND-F,A,3,5780
BAND-F,A,4,5800
BAND-F,A,5,5820
BAND-F,A,6,5840
BAND-F,A,7,5860
BAND-F,A,8,5880
BAND-R,A,1,5658
BAND-R,A,2,5695
BAND-R,A,3,5732
BAND-R,A,4,5769
BAND-R,A,5,5806
BAND-R,A,6,5843
BAND-R,A,7,5880
BAND-R,A,8,5917
BAND-L,A,1,5362
BAND-L,A,2,5399
BAND-L,A,3,5436
BAND-L,A,4,5473
BAND-L,A,5,5510
BAND-L,A,6,5547
BAND-L,A,7,5584
BAND-L,A,8,5621
BAND-X,B,1,4990
BAND-X,B,2,5020
BAND-X,B,3,5050
BAND-X,B,4,5080
BAND-X,B,5,5110
BAND-X,B,6,5140
BAND-X,B,7,5170
BAND-X,B,8,5200
