band,letter,channel,frequency_mhz
BAND-A,A,1,3330
BAND-A,A,2,3350
BAND-A,A,3,3370
BAND-A,A,4,3390
BAND-A,A,5,3410
BAND-A,A,6,3430
BAND-A,A,7,3450
BAND-A,A,8,3470
BAND-B,B,1,3170
BAND-B,B,2,3190
BAND-B,B,3,3210
BAND-B,B,4,3230
BAND-B,B,5,3250
BAND-B,B,6,3270
BAND-B,B,7,3290
BAND-B,B,8,3310
BAND-E,A,1,1080
BAND-E,A,2,1120
BAND-E,A,3,1160
BAND-E,A,4,1200
BAND-E,A,5,1240
BAND-E,A,6,1280
BAND-E,A,7,1320
BAND-E,A,8,1360
BAND-F,B,1,1200
BAND-F,B,2,1220
BAND-F,B,3,1240
BAND-F,B,4,1258
BAND-F,B,5,1280
BAND-F,B,6,1300
BAND-F,B,7,1320
BAND-F,B,8,1340
