band,letter,channel,frequency_mhz
BAND_A,A,1,5865
BAND_A,A,2,5845
BAND_A,A,3,5825
BAND_A,A,4,5805
BAND_A,A,5,5785
BAND_A,A,6,5765
BAND_A,A,7,5745
BAND_A,A,8,5725
BAND_B,B,1,5733
BAND_B,B,2,5752
BAND_B,B,3,5771
BAND_B,B,4,5790
BAND_B,B,5,5999
BAND_B,B,6,5828
BAND_B,B,7,5847
BAND_B,B,8,5866
BAND_E,E,1,5705
BAND_E,E,2,5685
BAND_E,E,3,5665
BAND_E,E,4,5645
BAND_E,E,5,5885
BAND_E,E,6,5905
BAND_E,E,7,5925
BAND_E,E,8,5945
AIRWAVE,F,1,5740
AIRWAVE,F,2,5760
AIRWAVE,F,3,5780
AIRWAVE,F,4,5800
AIRWAVE,F,5,5820
AIRWAVE,F,6,5840
AIRWAVE,F,7,5860
AIRWAVE,F,8,5880
RACEBAND,R,1,5658
RACEBAND,R,2,5695
RACEBAND,R,3,5732
RACEBAND,R,4,5769
RACEBAND,R,5,5806
RACEBAND,R,6,5843
RACEBAND,R,7,5880
RACEBAND,R,8,5917
LOWRACE,L,1,5362
LOWRACE,L,2,5399
LOWRACE,L,3,5436
LOWRACE,L,4,5473
LOWRACE,L,5,5510
LOWRACE,L,6,5547
LOWRACE,L,7,5584
LOWRACE,L,8,5621
